EstablishmentID,InspectionID,EstablishmentName,PlaceName,Address,Address2,City,State,Zip,TypeDescription,Latitude,Longitude,InspectionDate,Score,Grade,NameSearch,Intersection
77889,1399516,JIMMY JOHN'S,,415 W JEFFERSON ST,,LOUISVILLE,KY,40202,FOOD SERVICE,38.2541,-85.7581,7/10/18 0:00,,,JIMMY JOHN'S,
102672,1399517,MISSION BBQ,,4607 SHELBYVILLE RD,,LOUISVILLE,KY,40207,FOOD SERVICE,38.2512,-85.6272,6/26/18 0:00,,,MISSION BBQ,
63523,1403191,PIZZA HUT #013430,,3601 BUECHEL BYPASS,,LOUISVILLE,KY,40218,FOOD SERVICE,38.1997,-85.6616,7/23/18 0:00,,,PIZZA HUT #013430,
103825,1418606,TEXAS ROADHOUSE,,5005 SHELBYVILLE RD,,LOUISVILLE,KY,40207,FOOD SERVICE,38.2507,-85.6229,10/1/18 0:00,,,TEXAS ROADHOUSE,
51860,1422635,1ST WOK CHINESE RESTAURANT,,3967 S 7TH ST,,LOUISVILLE,KY,40216,FOOD SERVICE,38.1914,-85.8052,10/17/18 0:00,,,1ST WOK CHINESE RESTAURANT,
91381,1422670,ZAXBY'S,,5025 MUD LN,,LOUISVILLE,KY,40229,FOOD SERVICE,38.911,-85.6699,10/17/18 0:00,,,ZAXBY'S,
64408,1428345,WAFFLE HOUSE #1398,,12020 STANDIFORD PLAZA DR,,LOUISVILLE,KY,40229,FOOD SERVICE,38.866,-85.6667,11/8/18 0:00,,,WAFFLE HOUSE #1398,
56535,1428353,MOBY DICK,,11210 PRESTON HWY,,LOUISVILLE,KY,40229,FOOD SERVICE,38.866,-85.6692,11/12/18 0:00,,,MOBY DICK,
85903,1434248,ST. BERNARD SOFTBALL CONCESSION,,7500 TANGELO DR,,LOUISVILLE,KY,40228,FOOD SERVICE,38.1471,-85.623,9/25/18 0:00,100,,ST. BERNARD SOFTBALL CONCESSION,
84789,1434262,HEALING PLACE WOMEN and CHILDREN,,1503 S 15TH ST,,LOUISVILLE,KY,40210,FOOD SERVICE,38.2279,-85.7801,12/6/18 0:00,,,HEALING PLACE WOMEN and CHILDREN,
33726,1399707,DOMINO'S PIZZA #1436,,5219 DIXIE HWY,,LOUISVILLE,KY,40216,FOOD SERVICE,38.1628,-85.8308,7/12/18 0:00,,,DOMINO'S PIZZA #1436,
104630,1399725,AMICI CAFE,,316 W ORMSBY AVE,,LOUISVILLE,KY,40203,FOOD SERVICE,38.2326,-85.7598,7/11/18 0:00,,,AMICI CAFE,
32140,1399737,ARBY'S #5412,,6216 BARDSTOWN RD,,LOUISVILLE,KY,40291,FOOD SERVICE,38.1555,-85.5905,7/18/18 0:00,,,ARBY'S #5412,
81119,1399838,LONG JOHN SILVER'S #15,,400 E BROADWAY,,LOUISVILLE,KY,40202,FOOD SERVICE,38.2453,-85.7476,7/12/18 0:00,,,LONG JOHN SILVER'S #15,
88830,1399849,PANERA BREAD,,1534 BARDSTOWN RD,,LOUISVILLE,KY,40205,FOOD SERVICE,38.1354,-85.423,7/12/18 0:00,,,PANERA BREAD,
96654,1399920,ANOOSH BISTRO,,4864 BROWNSBORO CENTER,,LOUISVILLE,KY,40207,FOOD SERVICE,38.2781,-85.6357,7/11/18 0:00,,,ANOOSH BISTRO,
101121,1399925,GOLDEN CORRAL,,8013 PRESTON HWY,,LOUISVILLE,KY,40219,FOOD SERVICE,38.136,-85.6845,7/3/18 0:00,,,GOLDEN CORRAL,
106118,1415116,CRESCENT HILL UNITED METHODIST,,201 S PETERSON AVE,,LOUISVILLE,KY,40206,FOOD SERVICE,38.2531,-85.6975,9/19/18 0:00,96,,CRESCENT HILL UNITED METHODIST,
104793,1422950,TACO BELL #22578,,3520 BARDSTOWN RD,,LOUISVILLE,KY,40218,FOOD SERVICE,38.2013,-85.6639,10/12/18 0:00,,,TACO BELL #22578,
101121,1399937,GOLDEN CORRAL,,8013 PRESTON HWY,,LOUISVILLE,KY,40219,FOOD SERVICE,38.136,-85.6845,7/10/18 0:00,,,GOLDEN CORRAL,
100440,1399977,MCDONALD'S #4924,,3100 POPLAR LEVEL RD,,LOUISVILLE,KY,40219,FOOD SERVICE,38.2115,-85.7209,7/9/18 0:00,,,MCDONALD'S #4924,
94951,1400109,DAIRY DEL #3,,1516 S SHELBY ST,,LOUISVILLE,KY,40217,FOOD SERVICE,38.2239,-85.7427,7/11/18 0:00,,,DAIRY DEL #3,
38607,1400114,SUBWAY #6322,,6840 BARDSTOWN RD,,LOUISVILLE,KY,40291,FOOD SERVICE,38.1468,-85.5882,7/16/18 0:00,,,SUBWAY #6322,
